"id";"titles";"price"
97;"Life Magazine JFK, NY Times 9/11, Stuyvesant High 9/11";"$50"
98;"Vintage Fortune Magazine-1938";"$50"
99;"The Saturday Evening Post-A Visit with Norman Rockwell";"$50"
100;"unique hand made pottery/artifacts/etc.";"$30"
101;"Complete Calvin and Hobbes Hardcover Set";"$30"
102;"1936 Stratford THE DOORWAY";"$100"
103;"Antique Catholic Bible 1876";"$100"
104;"Baby and toddler books for sale";"$40"
105;"14 antiquarian (vintage, antique, old) books Charles Dickens 1936";"$40"
106;"14 antiquarian (vintage, antique, old) books Charles Dickens 1936";"$40"
107;"For Next Passover - A DIFFERENT NIGHT: A Family Participation Haggadah";"$40"
108;"Antiques And The Arts Weekly (2017-2019)";"$60"
109;"500 ICE CREAMS, SORBETS + GELATOS: The Only Ice Cream Compendium . . .";"$60"
110;"Art Forum Magazine, 72 Issues CAN DELIVER";"$65"
111;"Mercury outboard repair manual";"$65"
112;"The Art Of Natori Josie Cruz Natori HC BOOK First Ed SIGNED BY AUTHOR!";"$65"
113;"LADY GAGA The New York Times Magazine The Culture Issue October 2018!";"$65"
114;"Vintage AMERICAN RIFLEMAN Magazines 1940 (COMPLETE YEAR)";"$11"
115;"CAT and DOG related AND MYSTERY BOOKS";"$11"
116;"MOTORCYCLE PERMIT CDL PERMIT EXAM GURANTEE PASSING CALL ME NOW!";"$0"
117;"step1 kaplan usmle set";"$0"
118;"Algebra 1 and Earth Science review books";"$10"
119;"The Art Of Natori Josie Cruz Natori HC BOOK First Ed SIGNED BY AUTHOR!";"$10"
120;"LADY GAGA The New York Times Magazine The Culture Issue October 2018!";"$300"
121;"Vintage AMERICAN RIFLEMAN Magazines 1940 (COMPLETE YEAR)";"$300"
122;"CAT and DOG related AND MYSTERY BOOKS";"$40"
123;"MOTORCYCLE PERMIT CDL PERMIT EXAM GURANTEE PASSING CALL ME NOW!";"$40"
124;"step1 kaplan usmle set";"$20"
125;"Algebra 1 and Earth Science review books";"$20"
126;"ROLLING STONE: THE PHOTOGRAPHS";"$250"
127;"NEW IN SEALED BOX - DESIGNED LIKE A BOOK, GLASS PAINTING CRAFT KIT";"$250"
128;"JAMES PATTERSON BOOKS - LARGE LOT - HARDCOVERS &amp; POCKETBOOKS";"$0"
129;"ELIZABETH GEORGE - 3 BOOKS";"$0"
130;"SUE GRAFTON  - 4 BOOKS";"$15"
131;"Baseball Encyclopedias All 5 1969 -2003";"$15"
132;"Ralph Lauren by Ralph Lauren, Coffee table book";"$20"
133;"Handel Messiash Barenreiter 4012b Vocal Score";"$20"
134;"50 books 15 dollars";"$10"
135;"RARE Vintage Norwegian/Danish Bible Leather Bound with gold pages 1923";"$10"
136;"Smull&#39;s Legislative Hand Book and Manual of the State of Pennsylvania";"$13"
137;"Hard-to-Find, Brand New Book on STEPHEN HAWKING";"$13"
138;"Fabulous Garden Photography -  MOMENTS IN EDEN";"$8"
139;"Cities of Destiny edited by Arnold Toynbee";"$8"
140;"The Great Wall by Luo Zewen";"$10"
141;"Olmans&#39; Guide to GOLF ANTIQUES";"$10"
142;"Rare Book on PUPI AVATI - For the Italian Film Devotee";"$25"
143;"New Boy&#39;s Passage Man&#39;s Journey DVD Study";"$25"
144;"&quot;Negotiating and Drafting Contract Boilerplate&quot; by Tina Stark";"$200"
145;"New York State Waxing Mock Exam";"$200"
146;"NEW YORK TIMES COOKBOOK, LARGE PRINT, 1971";"$3"
147;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$3"
148;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$50"
149;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$50"
150;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$5"
151;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$5"
152;"3 Classic Baseball Books Hardcover";"$12"
153;"Wall Street 1929 Crash Era stock certificates (Blue)";"$12"
154;"CDL MOTORCYCL DRIVING PERMIT EXAM GURANTEE PASSING CALL ME NOW";"$10"
155;"Wall Street 1929 Crash Era stock certificates (Red)";"$10"
156;"Wall Street 1929 Crash Era stock certificates (Blue)";"$5"
157;"Wall Street 1929 Crash Era stock certificates (Red)";"$5"
158;"Wall Street 1929 Crash Era stock certificates (Red)";"$300"
159;"Wall Street 1929 Crash Era stock certificates (Blue)";"$20"
160;"Wall Street 1929 Crash Era stock certificates (Red)";"$80"
161;"Wall Street 1929 Crash Era stock certificates (Blue)";"$80"
162;"Wall Street 1929 Crash Era stock certificates (Red)";"$5"
163;"Wall Street 1929 Crash Era stock certificates (Blue)";"$5"
164;"Wall Street 1929 Crash Era stock certificates (Red)";"$20"
165;"9 Major Law Books 1st Amendment, Civil Rights";"$20"
166;"Wall Street 1929 Crash Era stock certificates (Blue)";"$75"
167;"Learn French and French Literary Books";"$75"
168;"Wall Street 1929 Crash Era stock certificates (Blue)";"$20"
169;"Wall Street 1929 Crash Era stock certificates (Red)";"$20"
170;"Jewels of Stringology 1st Edition";"$13"
171;"Paying the Professoriate: A Global Comparison of Compensation and Cont";"$13"
172;"Algorithms on Strings 1st Edition - by Maxime Crochemore, Christophe H";"$20"
173;"Norwegian author Knausgaard&#39;s MY STRUGGLE- Books 1 to 5";"$20"
174;"Three Stooges";"$15"
175;"SCAVULLO 1948-1984 FIRST EDITION";"$15"
176;"Books and Textbooks for Sell";"$5"
177;"Grandma Moses by Otto Kallir";"$5"
178;"10 novels $1 each";"$5"
179;"\xe2\x80\x98Down in the Garden\xe2\x80\x99 table book";"$5"
180;"Art and other books";"$5"
181;"signed Helen Vita &quot;Song Buch&quot; German risque song book";"$5"
182;"We buy used textbooks and academic books. Sell any time.";"$1"
183;"The Dot And The Line: A Romance In Lower Mathe (Norton Juster - 1964)";"$5"
184;"Magic book";"$5"
185;"Jaquiline Onasis Art Book before Kennedy";"$5"
186;"The Complete Guide of the TOEFL Test";"$5"
187;"Very Rare *The Bobbsey Twins Book no1 1950, Laura Lee Hope";"$5"
188;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$5"
189;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$50"
190;"Very Rare *The Bobbsey Twins Book no1 1950, Laura Lee Hope";"$50"
191;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$25"
192;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$25"
193;"\xe2\x9c\x94  Groves Dictionary of Music and Musicians";"$45"
194;"Very Rare *The Bobbsey Twins Book no1 1950, Laura Lee Hope";"$45"
195;"New in box 18vol complet set";"$50"
