"id";"titles";"price"
463;"Heavy Horses/Light Horses";"$29"
464;"Not Even My Name / Thea Halo Picador USA, New York, 2000 1st Ed";"$35"
465;"Jupiter by  Seymour Simon 1985 Images";"$35"
466;"The Picturesque Mediterranean";"$19"
467;"Birds of America";"$19"
468;"Picturesque America";"$9"
469;"Voyages and Travels(or Scenes From Many Lands )";"$9"
470;"Dante\xe2\x80\x99s Inferno";"$33"
471;"Witcher books (five books) by Andrzej Sapkowski";"$33"
472;"New Zealand";"$4"
473;"In Cold Blood";"$4"
474;"NANA";"$4"
475;"Science Fiction &amp; Star Trek Books";"$4"
476;"Nikolai Dante 2000AD vol one + two for $8";"$25"
477;"The Automobile Quarterly";"$25"
478;"Farbiges Ornament";"$175"
479;"The Jerusalem Windows";"$175"
480;"The Botanic Garden";"$2"
481;"Harrison\xe2\x80\x99s \xe2\x80\x9cThe Floricultural Cabinet and Florists Magazine\xe2\x80\x9d";"$2"
482;"Curtis\xe2\x80\x99 Botanical Magazine or Flower Garden Displayed.";"$25"
483;"MOVIE MAGAZINES MONSTER AND MAINSTREAM,FILM BOOKS ,ROLLING STONE";"$25"
484;"VISIONAIRE No. 16 Calendar Issue, 1996";"$350"
485;"8 Original Hard-Cover Editions of &quot;The Best of Gourmet&quot; 1994-2000";"$5"
486;"Woolgathering, SIGNED by Patti Smith (first edition)";"$5"
487;"Barrons Regents and Answers Math A Paperback Book";"$40"
488;"Heath Foundations of Sequential Mathematics Math Hardcover Textbook";"$40"
489;"Barron Regents Exam and Answers US History Government Book";"$25"
490;"The Oxford American Desk Dictionary and Thesaurus Second Edition Book";"$25"
491;"ARCHITECTURE STUDY MATERIAL, o/b/o";"$0"
492;"The Living Environment Biology Science Subject Amsco School Book";"$0"
493;"Basic Technical Mathematics Seventh 7th Edition Hardcover Textbook";"$60"
494;"BOOKS: CHILD REARING/GAMES crafts HOBBIES needlework HORTICULTURE more";"$60"
495;"BOOKS 2: COOKBOOKS decorate. collect.antique STAR TREK/WARS explore NY";"$25"
496;"BOOKS 1: ART folklore NEW YORKER. FEIFFER. STEIG cinema/Oscars ISRAEL";"$25"
497;"Random House Webster Pocket American Dictionary Book";"$10"
498;"MCAT books";"$10"
499;"HELP WITH WRITING/ READING";"$5"
500;"1952 BOOK NURSES HANDBOOK OF OBSTETRICS J.B. LIPPINCOTT";"$5"
501;"NicholasWinton&#39;s Lottery of Life";"$50"
502;"Jewish Books/Judaica";"$50"
503;"HOME UNIVERSITY CHILDREN BOOK SET";"$100"
504;"Baseball Encyclopedias All 5 1969 -2003";"$100"
505;"One Body NIV January 2013 Religion Christian Bible Time Book";"$0"
506;"War military book collection";"$0"
507;"Antonin Artaud, Jack Hirschman / Artaud Anthology 1965 Second revised";"$12"
508;"Chicago Review, Autumn 1958 - Naked Lunch, Chapter 2 -";"$12"
509;"allen ginsberg poetry books from the 60&#39;s";"$35"
510;"One Hundred Famous Views of Edo (Japanese Woodblock Prints)";"$35"
511;"James Dean Collector&#39;s";"$30"
512;"Leonardo DaVinci on the Human Body &amp;Artistic Anatomy";"$30"
513;"Horse Books - New and Antique";"$1"
514;"The New Encyclopaedia Britanica";"$1"
515;"1978.5 to 1981 AMF Harley Davidson Factory service manual";"$10"
516;"Alive by Piers Paul Read,  Miracle in the Andes by Nandi Parrado";"$10"
517;"ART TREASURES in FLORENCE MUSEUMS CHURCHES PALACES";"$16"
518;"FRAMED FLOWER ART";"$16"
519;"EYEWITNESS PARIS, EYEWITNESS BARCELONA";"$55"
520;"LEARNING FUNCTIONAL WORDS &amp; PHRASES FOR EVERYDAY LIVING";"$55"
521;"RENOIR Life and Works purchased in National Gallery London";"$100"
522;"Rival Crockpot Cooking hardcovered cookbook";"$12"
523;"NicholasWinton&#39;s Lottery of Life";"$12"
524;"JEWISH AS A SECOND LANGUAGE by MOLLY KATZ";"$20"
525;"MODIGLIANI by JEFFREY MEYERS";"$20"
526;"Original! Outlander Series of Books - Diana Gabaldon + 3 bonuses!";"$20"
527;"GREAT JEWS IN SPORTS by Robert Slater";"$20"
528;"The Sinatra Treasures Book and Cd";"$8"
529;"The Reckoning by John Grisham";"$8"
530;"NicholasWinton&#39;s Lottery of Life";"$6"
531;"Brand New--PIERRE BONNARD EARLY &amp; LATE--TOTALLY UNUSED COPY";"$6"
532;"WEBSTERS NEW UNIVERSAL ENCYCLOPEDIA";"$1"
533;"MODIGLIANI by JEFFREY MEYERS";"$1"
534;"Microeconomics, Economics, Macroeconomics, Finance, GRE, Algebra etc.";"$775"
535;"*One Life to Live* soap opera commemorative magazine";"$775"
536;"Windows XP for Dummies";"$12"
537;"LARGE LOT OF COOKBOOKS";"$12"
538;"5 Vintage Stephen King Paperbacks in G, VG, Like New Conditions";"$20"
539;"18 Children&#39;s Books to Learn Russian and 1 Polish Lang Child&#39;s Book";"$20"
540;"LEARN CHINESE CHARACTERS Collection of 20+ Books - Adult or Child!";"$10"
541;"4 Collectible James Patterson Trade Paperback Publisher Advance Proofs";"$10"
542;"Collection of 12 Different Vintage Calvin and Hobbes Cartoon Books!";"$8"
543;"6 Diary of A Wimpy Kid Hardcover Books Like New!";"$8"
544;"34 Vintage Knitting Magazines and Catalogs 1950s - 1970s SEE PICS!";"$20"
545;"6 Vintage 1991 Mad Magazines SEE PICS";"$20"
546;"CSS for Babies (Code Babies) Board book";"$4"
547;"Baruch Book Moving business forward";"$4"
548;"Dark Hearts - Village by the Ocean, by Shanaga Brown";"$5"
549;"&quot;Negotiating and Drafting Contract Boilerplate&quot; by Tina Stark";"$15"
550;"DISNEY Magical Stories large gift box set fairy tales and childrens";"$15"
551;"Decorative Floors of Venice";"$21"
552;"Columbia University alumni directory, 2014";"$300"
553;"Old Medical Books";"$300"
554;"PAPERBACK BOOKS";"$20"
555;"Alexander Hamilton Institute 1955 Modern Buisness set of 22";"$20"
556;"Rare Books - Vast Collection";"$20"
557;"Zohar - full set of 23 volumes";"$20"
558;"MLA Handbook for Writers of Research Papers";"$10"
559;"MLA Handbook for Writers of Research Papers";"$20"
560;"MLA Handbook for Writers of Research Papers";"$20"
561;"mickey mantle @ roger maris     books";"$10"
562;"MUSIC BUSINESS HANDBOOK AND CAREER GUIDE 8th ED";"$5"
563;"Ansel Adams American West &amp; The Mural Project";"$5"
564;"Whales, A Celebration Hardcover";"$10"
565;"Whales, A Celebration Hardcover";"$10"
566;"ATLAS of the world (2) books";"$15"
567;"World War II  (3) books";"$5"
568;"War Books (3)";"$5"
569;"2 Back Issues of W Magazine (Kate Moss Superstar) Sep. 2003 - $60 OBO";"$10"
570;"Big Magazine for sale: $10 each";"$10"
571;"Medicine Guidebook, Aromatherapy Glossary";"$30"
572;"American Art Nouveau";"$30"
573;"Emerald Gems - Links of Ireland &#39;02";"$35"
574;"Never Trust a Skinny Italian Chef Book";"$35"
575;"1975 Madison High School Year Book ~ Alembic";"$50"
576;"The Art and Life of Luigi Lucioni HC Book";"$50"
577;"The Year In Sports: 1958 Edition";"$195"
578;"Elton John &amp; Bernie Taupin: The Complete Lyrics";"$195"
579;"How To Play Baseball";"$100"
580;"Baseball: An Informal History";"$100"
581;"GMAT Manhattan Prep 6th Edition";"$10"
582;"Books For Sale;  $1.00 and Up!";"$10"
583;"Sale Sale  Books; $1.00 and Up!";"$30"
584;"Windows 7 Ultimate 32-64 Bit";"$30"
585;"OPRAH: LIVE YOUR BEST LIFE [NEW]";"$1"
586;"Over 50 books for children -  like new";"$1"
587;"Playboy magazines for sale 60s - 80s";"$8"
588;"Fiction paperback Collection 4 Sale";"$8"
589;"2018 Schweser CFA Level 3: 5 Books + 1 Volume with Practical Exams";"$20"
590;"2016 Schweser CFA Level 3: 5 Books + 2 Volumes of Practical Exams";"$20"
591;"The Department of Justice Manual";"$0"
592;"3 working stick umbrellas";"$0"
593;"Stories of Boccaccio (The Decameron)";"$13"
594;"Collectible19th and 20th Century Books";"$13"
595;"SCAVULLO 1948-1984 FIRST EDITION";"$0"
596;"The Goldfinch by Donna Tartt (Hardcover)";"$0"
597;"Phonics and Reading Workbooks";"$40"
598;"Stories of Boccaccio (The Decameron)";"$40"
599;"Poems by Felicia Hemans with an Essay on Her Genius by H.T. Tuckerman";"$5"
600;"1947 Famous Myths of the Golden Age";"$5"
601;"Collectible19th and 20th Century Books";"$5"
602;"1969 Teaching as a Subversive Activity by Postman &amp; Weingartner";"$5"
603;"Phonics and Reading Workbooks";"$7"
604;"1969 Teaching as a Subversive Activity by Postman &amp; Weingartner";"$7"
605;"Cookbook Moving Sale Kinfolk Table Sunday Suppers";"$5"
606;"VOGUE, W, THE FACE, HARPER&#39;S, SPIN, VIBE, TINTIN";"$5"
607;"Household Hints &amp; Handy Tips";"$0"
608;"Al Capone Bio";"$0"
609;"The Great Big Giant Book of Ziggy";"$0"
610;"The New Munsell Student Color Set 2nd Edition";"$0"
611;"MASSIVE MODERN COMIC BOOK SALE";"$20"
612;"MASSIVE MODERN COMIC BOOK SALE";"$20"
613;"MASSIVE MODERN COMIC BOOK SALE";"$5"
614;"THE MINIMALIST HOME: Purging Decluttering Editing Organizing Zen";"$5"
615;"Signed John Major Autobiography 1st Edition";"$5"
616;"Accurate Stubs Paperwork and Books for Dummies";"$5"
617;"Books Available Like New: Comickers magazine, Batman Begins,  MGS4";"$15"
618;"The Princeton Review SAT &amp; PSAT and Manual for the SAT";"$15"
619;"PowerScore LSAT Bible Trilogy and 4 books of practice tests";"$10"
620;"unique hand made pottery/artifacts/etc.";"$5"
621;"Great Books of the Western World";"$5"
622;"CFA Official 2016 level 1 books + extra";"$4"
623;"2018 Kaplan CFA Level 1 Study Books + Flash Cards &amp; Practice Exams";"$4"
624;"The Concerts by Laurie Lewis (large book of photos)";"$5"
625;"The Songs of John Lennon paperback book like new";"$5"
626;"Clinton books Hillary and Bill";"$10"
627;"Old Count Monte Cristo;  2 Art Volumes 1876-1877";"$10"
628;"~~ CHILDRENS BOOKS #1 ~~";"$250"
629;"~~ CHILDRENS BOOKS #2 ~~";"$250"
630;"~~ CHILDRENS BOOKS #4~~";"$20"
631;"~~ CHILDRENS BOOKS #3 ~~";"$20"
632;"MY MELODY -- &quot;The Musical&quot; A Musical/Romance Novel";"$0"
633;"Google notebook notepad";"$8"
634;"Google Women Techmakers Notebook Notepad Journal Book Soft Cover Brown";"$8"
635;"Google Women Techmakers Notebook Notepad Journal Book Leather Hardcove";"$11111111"
636;"Google Women Techmakers Notebook Notepad Journal Book Soft Cover Brown";"$11111111"
637;"Google Women Techmakers Notebook Notepad Journal Book Leather Hardcove";"$50"
638;"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Ic";"$50"
639;"Google Women Techmakers Notebook Notepad Journal Book Leather Hardcove";"$0"
640;"Playboy magazine&#39;s";"$1000"
641;"Antique Books";"$1000"
642;"Santa Claus Tells the True Meaning of Christmas";"$10"
643;"Antique Books";"$50"
644;"26 Vintage Joe Weiders Flex Magazines &amp; Schwarzenegger bodybuilding";"$50"
645;"Karl Rove Autographed Book: Courage and Consequence";"$10"
646;"Antique Books";"$10"
647;"The Stan Lee Story signed";"$16"
648;"Book Set: Pictorial History of the Second World War";"$16"
649;"2 Art Volumes, Old Count of Monte Cristo";"$12"
650;"VINTAGE COOK BOOKS";"$12"
651;"MORE NON-FICTION BOOKS - take a look!";"$20"
652;"RARE VINTAGE BOOKS - HARD COVERS";"$20"
653;"ARCHAEOLOGY AND BIBLICAL ARCHAEOLOGY REVIEW";"$5"
654;"VINCE FLYNN BOOKS";"$5"
655;"COLLECTION OF LOOK MAGAZINES";"$5"
656;"LIFE MAGAZINES -  WAR BONDS APPEAL 1945 and other collectible issues";"$5"
657;"Feng Shui deck";"$10"
658;"INVENTORY LIQUIDATION - THOUSANDS OF NEW BOOKS";"$10"
659;"LOBOTOMY: Surviving the Ramones";"$139"
660;"Value Tales Johnson lot 14 vintage character building homeschool books";"$139"
661;"ST JOHN\xe2\x80\x99S BIBLE:PSALMS";"$0"
662;"ST JOHN\xe2\x80\x99S BIBLE: PSALMS";"$0"
663;"Arthur Rackham Illustrated books";"$20"
664;"Solution Key for Algebra and Trigonometry: Structure and Method: Book";"$20"
665;"90s playboy";"$100"
666;"Vintage Betty Crocker&#39;s Collection of Books - Mint";"$80"
667;"Book on Near Death Experiences (pdf is free)";"$80"
668;"Don\xe2\x80\x99t sweat the small stuff for teens";"$1"
669;"Counseling and psychology related textbooks and books";"$1"
670;"FUNK &amp; WAGNALLS INTERNATIONAL DICTIONARY";"$680"
671;"Vintage Easton Press Book - The Hunchback Of Notre Dame - Sealed New!";"$680"
672;"33 Vintage Playboy Hustler Penthouse Magazines 1970&#39;s";"$0"
673;"Chevelle Owners Manual";"$245"
674;"1964 Chrysler Imperial Manuals";"$245"
675;"Saturday Evening Post 1942";"$0"
676;"Modern Refrigeration and Air Conditioning";"$10"
677;"Jurassic Park";"$500"
678;"Standard Auto-Electronics Manual";"$500"
679;"Hot Rodding Engine Annual 1964";"$15"
680;"Petersen&#39;s Chassis Manual";"$15"
681;"New York (City) - THE PHOTO ATLAS";"$10"
682;"Edelbrock 1975 Catalog";"$10"
683;"Auto Manual";"$100"
684;"Chiltons";"$100"
685;"Bible Catholic Action Edition 1953";"$15"
686;"SHSAT (new York City) The Tutorverse";"$15"
687;"Living, Cooking and Shopping In Provence, France";"$100"
688;"Listen To This Second Edition By Mark Evan Bonds";"$100"
689;"1949 - Gulliver&#39;s Travels - Johnathan Swift";"$5"
690;"Poems to Read and Learn (1955) from My Weekly Reader";"$5"
691;"Chuck Berry: The Autobiography";"$40"
692;"American Sports Heroes of Today";"$40"
693;"Saturday Night Live";"$15"
694;"24 ORIGINAL COMICS";"$15"
695;"Napoleon III &amp; Eugenie: Opulence &amp; Splendor of France&#39;s Second Empire";"$25"
696;"Les Mis &amp; Thoroughly Modern Millie";"$25"
697;"Vocals from Man of LaMancha plus..";"$1"
698;"CATS: Souvenir Program";"$1"
699;"Bookshelves for sale!";"$3"
700;"Cases in Leadership (The Ivey Casebook Series)";"$3"
701;"I Never Knew I Had A Choice 9th Edition";"$70"
702;"Patrick O&#39;Brian Books Lot Aubrey-Maturin Series Set of  4";"$70"
703;"REX STOUT Fer-De-Lance and  The Second Confession (Nero Wolfe)";"$20"
704;"8 Original Hard-Cover Editions of &quot;The Best of Gourmet&quot; 1994-2000";"$20"
705;"8 Original Hard-Cover Editions of &quot;The Best of Gourmet&quot; 1994-2000";"$35"
706;"Smith &amp; Hawken Book of Days: The Perennial Companion";"$35"
707;"Rare 1974 Book Media and Symbols by NSSA";"$7"
708;"Vintage 1948 Russian Book by \xd0\x92\xd1\x81\xd0\xb5\xd0\xb2\xd0\xbe\xd0\xbb\xd0\xbe\xd0\xb4 \xd0\xa1\xd0\xbe\xd0\xbb\xd0\xbe\xd0\xb2\xd1\x8c\xd0\xb5\xd0\xb2";"$7"
709;"Landscapes, Travel Around the World in 10 Photography Albums/Books";"$45"
710;"Deceptively Delicious Simple Secrets to Get Your Kids Eating Good Food";"$45"
711;"Bits And Pieces The Economics Press 1971 Volume C, Number 2";"$10"
712;"Bloom County &quot;Loose Tails&quot; Berke Breathed First Edition 1983";"$10"
713;"Set of 9 Comic Series Larson/Breathed/Amerongen/Peters";"$35"
714;"1960s to 1980s PENTHOUSE MAGAZINES";"$35"
715;"Russian Book &quot; History of Hypnotism&quot;";"$25"
716;"BIBLIA VULGATA /NOVA EDITIO 1965 Alberto Colunga O.P./ L. Turrado";"$25"
717;"Bloom County &quot;Loose Tails&quot; Berke Breathed First Edition 1983";"$225"
718;"Passing Through Eden: Photographs of Central Park by Tod Papageorge";"$225"
719;"Collected Writings of Ambrose Bierce";"$100"
720;"Music Lovers! Piano &amp; Voice Books";"$100"
721;"Tom Sawyer";"$800"
722;"Diary of a Wimpy Kid The Ugly Truth";"$800"
723;"The Adventures of Huckleberry Finn";"$6"
724;"Japanese cooking comic books - whole set";"$6"
725;"Car magazines,sports,assorted old mags";"$55"
726;"loads of -pottery";"$20"
727;"Oscar Hijuelos Novels";"$20"
728;"The Phantom of the Opera";"$10"
729;"Michaelangelo: The Sistine Chapel Ceiling";"$10"
730;"Express Lane Meals";"$30"
731;"Los Mejores Poemas de Amor";"$30"
732;"Elvis! The Last Word";"$40"
733;"Bloomsbury Guide";"$40"
734;"Health and fitness books lot of 17";"$8"
735;"The Ford Century";"$8"
736;"Health and fitness books lot of 17";"$6"
737;"Manhattan 5lb Book of LSAT Practice Drills";"$6"
738;"LSAT Logic Games Solutions Manual (Cambridge)";"$5"
739;"NYC LSAT Study Group";"$5"
740;"LSAT Reading Comprehension Bible";"$5"
741;"LSAT Logic Games Bible";"$5"
742;"* Selling Full Set of Manhattan LSAT Course Books *";"$0"
743;"* Selling Full Set of PS LSAT Course Books *";"$0"
744;"* Selling Full Set of Fox LSAT Course Books *";"$175"
745;"Selling Several LSAT PrepTests";"$175"
746;"MARILYN MONROE Magazine";"$3"
747;"The Dragonology   Handbook &amp; The Book of  Dragons";"$3"
748;"Fairyopolis";"$10"
749;"Books for Sale: Economics, Finance, Banking, and Other";"$10"
750;"Horizon Magazines Hard Cover";"$10"
751;"Audel Guides";"$10"
752;"Smithsonian Illustrated Library of Antiques Clocks Vol. &amp; Pottery Vol.";"$15"
753;"the decline and fall of the ny yankees";"$15"
754;"A+ Doggy Food";"$375"
755;"DAT Destroyer Care Package";"$375"
756;"DAT Test Prep Care Package";"$3"
757;"A+ Doggie Food";"$3"
758;"Focus on Study";"$50"
759;"Brand New Children&#39;s Books";"$50"
760;"Focus on Study";"$50"
761;"Norman Rockwell Book";"$50"
762;"Pompei and Herculaneum, The Living Cities of the Dead";"$50"
763;"Guido Gregorietti Jewelry Through the Ages";"$50"
764;"American Art Nouveau";"$250"
765;"Brand New Vegan Books";"$250"
766;"Winter 1990 The Ship to shore quarterly journal";"$8"
767;"EL NUEVO TESTAMENTO VERSION ANTIGUA Colombia &#39;96 First Edition";"$8"
768;"Three Great Books in Mint Prestige Condition";"$250"
769;"Computer Desk";"$250"
770;"Washington Black (Hardcover) by Esi Edugyan";"$8"
771;"The Traditional Handy Craft of Korea";"$8"
772;"Cooking,wine, alcohol,design books";"$75"
773;"24 ORIGINAL COMICS";"$75"
774;"BRAND NEW The Grilling Bible (Hardcover)";"$45"
775;"a dozen ART BOOKS.. ceramics, architecture, photography, and design";"$45"
776;"loads of -pottery";"$40"
777;"Cook book and Education Books for Sale, $50 for the Lot";"$40"
778;"Thinkpad Genuine Leather Laptop Briefcase - FREE $10 GIFT BONUS!";"$10"
779;"Bundle of Goodies for the Carefree Girl!";"$10"
780;"The NoteBuyer&#39;s Master Guide by Donna Bauer- Learn RE Investing";"$20"
781;"The Great Cooks&#39; Guide to Vegetable Cookery Cook Book";"$20"
782;"NY Post Dec 9,1980 -  &quot;I Just Shot John Lennon&quot;";"$15"
783;"Leading Lady - Sherry Lansing/Stephen Galloway";"$15"
784;"Spice Girls Unofficial Official UK 1st Print Book";"$25"
785;"CPA EXAM ACCOUNTING PREP BOOKS ($500 VALUE)";"$25"
786;"ENCYCLOPEDIA SET, ALL VOLUMES A-Z (GROLIER NEW BOOK OF KNOWLEDGE)";"$8"
787;"Fan Magazines";"$8"
788;"\xe2\x98\x85 ADOLF HITLER: MEIN KAMPF (Very Rare 1942 Edition) \xe2\x98\x85";"$75"
789;"Miscellaneous Sports, Music, and Fantasy Publications";"$75"
790;"Vintage Science Fiction Paperbacks";"$500"
791;"Vintage Sports Books-Baseball";"$500"
792;"Rare Hardcover Books";"$15"
793;"13 Art Books";"$15"
794;"Miscellaneous Sports Publications";"$350"
795;"3 Carpenter Training Student  Handbook Construction Industry";"$350"
796;"Manhattan Prep GRE set of 8 workbooks + 5 lb practice problems";"$500"
797;"The Story of Civilization by Will Durant - Complete, Volumes I to XI";"$500"
798;"SAT, GRE, TOEFL Official Prep Books!";"$10"
799;"***** The Laws of Success in Sixteen  Lessons by Napoleon Hill *****";"$10"
800;"***** 3 Astronomy coffee table books *****";"$25"
801;"***** 3 Teacher education / Professional development texts *****";"$25"
802;"*****Your Pregnancy &amp; Childbirth - Month to Month revised 6th ed*****";"$9"
803;"***** I Am a Cat by Soseki Natsume *****";"$9"
804;"BOOKS &amp; CDS";"$9"
805;"Bloom County &quot;Loose Tails&quot; Berke Breathed First Edition 1983";"$9"
806;"Grammar of Russian Language , Part I and II (2 Volumes)  1969 RARE";"$15"
807;"\xd0\x9f\xd0\xb0\xd0\xbc\xd1\x8f\xd1\x82\xd0\xba\xd0\xb0 350-\xd0\xbb\xd0\xb5\xd1\x82\xd0\xb8\xd1\x8f \xd1\x86\xd0\xb0\xd1\x80\xd1\x81\xd1\x82\xd0\xb2\xd0\xb5\xd0\xbd\xd0\xbd\xd0\xbe\xd0\xb3\xd0\xbe \xd0\xb4\xd0\xbe\xd0\xbc\xd0\xb0 \xd0\xa0\xd0\xbe\xd0\xbc\xd0\xb0\xd0\xbd\xd0\xbe\xd0\xb2\xd1\x8b";"$15"
808;"Norman Rockwell&#39;s America, Reader&#39;s Digest Edition Finch, Christopher";"$10"
809;"Unique Gold Plated Bookmark Orthodox Cross Delart Creations";"$10"
810;"Juergen Teller Marc Jacobs Advertising 1998-2009, First Edition";"$25"
811;"Juergen Teller Vivienne Westwood Spring Summer 2008 Book";"$25"
812;"Herb Ritts &quot;Men/Women&quot;, First Edition 1989";"$7"
813;"Herb Ritts &quot;Notorious&quot;, First Edition, 1992, Signed.";"$7"
814;"PURPLE MAGAZINE Issue # 5 (SS 2000) / LIKE NEW";"$0"
815;"PURPLE MAGAZINE issues #15-16-17-18 / LIKE NEW";"$0"
816;"PURPLE &quot;Street Mouth: The Thurston Moore Purple Diary&quot; / LIKE NEW";"$15"
817;"PURPLE &quot;Full Moon: The Katja Rahlwes Purple Book&quot; / LIKE NEW";"$15"
818;"PURPLE &quot;Chicken or Pasta: The Olaf Breuning Purple Book&quot; / LIKE NEW";"$45"
819;"Purple 20 Years: The Richard Prince Purple Book / LIKE NEW";"$45"
820;"Richard Prince Bettie Kline Purple Magazine Pocket Edition / NEW";"$50"
821;"The Ryan McGinley Purple Book &quot;The Journey is the Destination&quot; / NEW";"$50"
822;"Ryan McGinley &quot;Moonmilk&quot; First Edition / NEW";"$850"
823;"Victoria&#39;s Secret &quot;Backstage Sexy&quot; Limited Edition Book, 2003";"$850"
824;"Matsuda Spring-Summer 1995 Lookbook by Stephane Sednaoui";"$125"
825;"Beyond Gender: Matsuda by Yukio Kobayashi SS 1997";"$125"
826;"&quot;Essentials&quot;: Riccardo Tisci&#39;s Givenchy SS 2016 Booklet";"$800"
827;"BLK DNM Gazette 1 / NEW";"$800"
828;"Vintage Fashion Magazines 1990&#39;s-2000&#39;s";"$350"
829;"The Last Magazine issues #1 to #23";"$350"
830;"Jaycee Dugard - A Stolen Life";"$350"
831;"UNEMPLOYED MAGAZINE Issues 1 and 2";"$350"
832;"Dr. Phil - The 20/20 Diet";"$300"
833;"Moving Two Beautiful Cherry Book Shelves";"$300"
834;"Two Vintage Encyclopedia Sets (Complete and Like New) - 1961 and 1973";"$125"
835;"Childrens books";"$125"
836;"Two Vintage Encyclopedia Sets (Complete and Like New) - 1961 and 1973";"$325"
837;"The Mystery Method hardcover book";"$325"
838;"Big magazine fashion and art magazine set of  20 issues";"$450"
839;"Mix rare european vintage fashion magazines for sale x 18";"$450"
840;"Dazed and Confused the face ID British Fashion Magazine for sale";"$825"
841;"Stiletto french fashion magazine batch x 12";"$825"
842;"V Magazine issues for sale - vintage fashion magazine";"$400"
843;"Muse magazine quarterly fashion bible";"$400"
844;"interchange fourth edition";"$40"
845;"Numero Paris French Fashion Magazine 40 issue set for sale";"$40"
846;"Mens european fashion magazine library for sale-vman vogue homme etc";"$150"
847;"Fashion photographer Peter Lindbergh: Untitled 116 photography book";"$150"
848;"Fabien Baron&#39;s Interview Magazines for sale";"$5"
849;"Vintage Italian Vogue Magazines for sale Bulk";"$5"
850;"Rare European Fashion Magazines x 23 - Batch for sale";"$75"
851;"French Vogue Set of 46 Vintage Fashion Magazine selling in Bulk";"$75"
852;"Six (6) issues of UK Fashion Magazine TANK magazine for sale";"$9"
853;"F16x9&#39;s FLY DVD MAGAZINE issue 0 ART &amp; FASHION FILMS";"$9"
854;"L&#39;uomo Vogue Homme mens fashion magazine Library";"$15"
855;"The Face British fashion Magazine 25 issues 1990s for sale";"$15"
856;"Set of 46 - French Vogue Vintage Fashion Magazine";"$160"
857;"European fashion magazines for sale Citizen k, Doing Bird";"$160"
858;"9 Coffee Table Books, Movie, Art Books, Etc.";"$75"
859;"1937 - The Complete Works of William Shakespeare";"$75"
860;"Collectible19th and 20th Century Books";"$200"
861;"Woman in the Mirror; Richard Avedon";"$200"
862;"1941 A Treasury of Gilbert &amp; Sullivan";"$15"
863;"Hollywood at Home; A Family Album 1950-1960, Sid Avery";"$15"
864;"~The Smitten Kitchen Cookbook~";"$225"
865;"The Poetical Works of Thomas Hood";"$225"
866;"1947 Famous Myths of the Golden Age";"$1"
867;"Speedotron Strobe Head 102";"$145"
868;"Asap!coding books ICD  10 Expert2020 for hoapitals";"$145"
869;"Weight Watchers Magazine Low-Calorie Barbecue Favorites";"$1"
870;"Asap ! Cpt book 2020!";"$1"
871;"Coll. of Books of Rock and Roll Beatles John Lennon Elvis Madonna Oth.";"$40"
872;"Collection of Vintage Cartoon Books Illustration and Disney Hardcovers";"$40"
873;"1912 Readings in Ancient History by Davis";"$50"
874;"collection of adult magazines with missing covers,tears,rips, readabl";"$50"
875;"HENRI MATISSE: A RETROSPECTIVE---TOTALLY UNUSED COPY";"$250"
876;"The Out-of-Sync Child; The Challenging Child";"$250"
877;"The Mystery of the Creaking Windmill (for Middle Schoolers)";"$550"
878;"Sironia, Texas by Madison Cooper";"$550"
879;"A Few Flies and I:  Haiku by Issa";"$75"
880;"My Autobiography Charles Chaplin";"$75"
881;"The Clark New Pocket Music Dictionary";"$200"
882;"Children&#39;s Book:  Hattie the Backstage Bat by Don Freeman";"$200"
883;"Blue Angel by Francine Prose";"$750"
884;"Children&#39;s Book:  Street Dog by Richard E. Drdek";"$750"
885;"Nathan&#39;s Famous Hot Dog Cookbook";"$300"
886;"The Second Jewish Catalog";"$300"
887;"Little Audrey and the Moon Lady (Wonder Books)";"$200"
888;"Mirabella Magazine, First Issue";"$200"
889;"The Rubaiyat of Omar Khayyam";"$85"
890;"Tolstoy - An Approach 1946:Napoleon-1925";"$85"
891;"RENOIR Life and Works purchased in National Gallery London";"$7"
892;"Poems by Felicia Hemans with an Essay on Her Genius by H.T. Tuckerman";"$7"
893;"The Excellent Teacher-A Volume About Teacher By Teachers For Teachers";"$10"
894;"Western Civilization College 6 Books Bundle";"$10"
895;"Signed by Author - For Immediate Release: Shape Minds, Build Brands..";"$325"
896;"Understanding Psychology by Robert S. Feldman (1989, Hardcover)";"$325"
897;"Reality Check: The Irreverent Guide to Start Business - Guy Kawasaki";"$85"
898;"Stephen King Dark Tower Series";"$85"
899;"Essentials of Understanding Psychology by Robert S. Feldman Plus Study";"$225"
900;"The Southern Cookbook of Fine Old Recipes 1939";"$225"
901;"Monster High Book Trio";"$200"
902;"4 WILLIAM FAULKNER BOOKS";"$200"
903;"HELP WITH WRITING / READING";"$350"
904;"Buck Rogers Collected Works";"$350"
905;"Travel Guides";"$30"
906;"The New Joys of Yiddish : Completely Updated by Leo Rosten";"$30"
907;"US Constitution (Spanish Edition)";"$65"
908;"Sex in History by Reay Tannahill";"$65"
909;"White Bridal Bible leather bound";"$50"
910;"A Child Is Born by Lennart Nilsson";"$50"
911;"The Big Book of New American Humor";"$250"
912;"Circumcision Exposed by Billy Ray Boyd";"$250"
913;"For Hearing People Only by Matthew S. Moore";"$50"
